"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES"
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-01","5.14",",,W"," 1511",",,W","0.00",",,W",,,"28",",,W","14",",,W","  330",",,W","  330",",,W","15.0",",,W","19.9",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-02","2.68",",,W"," 0313",",,W","0.00",",,W",,,"32",",,W","11",",,W","  320",",,W","  320",",,W","13.0",",,W","18.1",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-03","2.91",",,W"," 1927",",,W","0.04",",,W",,,"33",",,W","11",",,W","  340",",,W","  350",",,W","12.1",",,W","18.1",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-04","10.96",",,W"," 0917",",,W","0.00",",,W",,,"31",",,W","16",",,W","  290",",,W","  280",",,W","23.0",",,W","33.1",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-05","5.59",",,W"," 1258",",,W","0.00",",,W",,,"29",",,W","11",",,W","  290",",,W","  270",",,W","15.0",",,W","23.9",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-06","5.14",",,W"," 1004",",,W","0.00",",,W",,,"27",",,W","10",",,W","  320",",,W","  300",",,W","15.0",",,W","23.0",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-07","1.12",",,W"," 0955",",,W","0.00",",,W",,,"29",",,W","3",",,W","   50",",,W","   40",",,W","8.9",",,W","12.1",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-08","1.57",",,W"," 1322",",,W","0.00","T,,W",,,"46",",,W","16",",,W","  290",",,W","  260",",,W","6.9",",,W","14.1",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-09","2.01",",,W"," 1021",",,W","0.00","T,,W",,,"64",",,W","31",",,W","  300",",,W","  280",",,W","10.1",",,W","14.1",",,W",,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2018-01-10","3.36",",,W"," 1019",",,W","0.00",",,W",,,"62",",,W","44",",,W","   50",",,W","   50",",,W","8.9",",,W","12.1",",,W",,
