"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES"
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-01","2.91",",,W"," 0120",",,W","0.00",",,W",,,"51",",,W","42",",,W","  320",",,W","  340",",,W","8.9",",,W","17.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-02","2.68",",,W"," 0326",",,W","0.00",",,W",,,"51",",,W","29",",,W","  290",",,W","  310",",,W","8.9",",,W","14.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-03","1.79",",,W"," 1223",",,W","0.00",",,W",,,"53",",,W","29",",,W","  280",",,W","  210",",,W","10.1",",,W","15.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-04","7.38",",,W"," 1555",",,W","0.00",",,W",,,"43",",,W","29",",,W","  320",",,W","  290",",,W","18.1",",,W","27.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-05","5.14",",,W"," 1021",",,W","0.00",",,W",,,"35",",,W","22",",,W","   40",",,W","  350",",,W","13.0",",,W","19.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-06","2.91",",,W"," 1151",",,W","0.00",",,W",,,"44",",,W","20",",,W","   20",",,W","   60",",,W","10.1",",,W","13.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-07","5.59",",,W"," 1010",",,W","0.00",",,W",,,"46",",,W","37",",,W","   40",",,W","   40",",,W","10.1",",,W","15.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-08","4.47",",,W"," 0409",",,W","0.00","T,,W",,,"48",",,W","41",",,W","   40",",,W","   30",",,W","8.9",",,W","12.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-09",,," 1444",",,W","0.02",",,W",,,,,,,"   40",",,W","   60",",,W","10.1",",,W","19.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-10",,," 1155",",,W",,,,,,,,,"  270",",,W","  300",",,W","19.9",",,W","28.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-11","2.91",",,W"," 1331",",,W","0.00",",,W",,,"43",",,W","26",",,W","  280",",,W","  280",",,W","13.0",",,W","19.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-12","4.47",",,W"," 1854",",,W","0.00",",,W",,,"52",",,W","27",",,W","  280",",,W","  290",",,W","18.1",",,W","27.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-13","3.80",",,W"," 0926",",,W","0.00",",,W",,,"42",",,W","28",",,W","  310",",,W","  300",",,W","13.0",",,W","18.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-14","1.79",",,W"," 1237",",,W","0.00",",,W",,,"60",",,W","27",",,W","  270",",,W","  220",",,W","12.1",",,W","17.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-15","3.80",",,W"," 2040",",,W","0.25",",,W",,,"48",",,W","32",",,W","  300",",,W","  320",",,W","18.1",",,W","27.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-16","3.80",",,W"," 1921",",,W","0.00",",,W",,,"61",",,W","41",",,W","  320",",,W","  320",",,W","13.0",",,W","19.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-17","4.92",",,W"," 1437",",,W","0.06",",,W",,,"42",",,W","29",",,W","  320",",,W","  320",",,W","12.1",",,W","16.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-18","6.26",",,W"," 1137",",,W","0.00",",,W",,,"34",",,W","21",",,W","  310",",,W","  280",",,W","16.1",",,W","23.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-19","6.49",",,W"," 1538",",,W","0.00",",,W",,,"31",",,W","16",",,W","  280",",,W","  280",",,W","16.1",",,W","23.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-20","2.24",",,W"," 1744",",,W","0.00","T,,W",,,"39",",,W","15",",,W","  240",",,W","  220",",,W","8.9",",,W","17.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-21","4.25",",,W"," 0954",",,W","0.00",",,W",,,"44",",,W","26",",,W","   50",",,W","   10",",,W","12.1",",,W","17.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-22","9.84",",,W"," 1622",",,W","0.88",",,W",,,"31",",,W","25",",,W","   50",",,W","   60",",,W","21.9",",,W","30.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-23","10.96",",,W"," 1531",",,W","0.00","T,,W",,,"33",",,W","24",",,W","  300",",,W","  310",",,W","18.1",",,W","31.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-24","5.14",",,W"," 0839",",,W","0.00",",,W",,,"46",",,W","28",",,W","  310",",,W","  300",",,W","15.0",",,W","21.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-25","0.89",",,W"," 1355",",,W","0.00",",,W",,,"51",",,W","26",",,W","  170",",,W","  160",",,W","8.1",",,W","13.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-26","1.79",",,W"," 1545",",,W","0.00",",,W",,,"61",",,W","33",",,W","  220",",,W","  210",",,W","8.9",",,W","17.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-27","3.58",",,W"," 1008",",,W","0.00","T,,W",,,"51",",,W","38",",,W","  350",",,W","  350",",,W","13.0",",,W","21.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-28","1.57",",,W"," 0510",",,W","0.00",",,W",,,"44",",,W","31",",,W","   50",",,W","   40",",,W","6.9",",,W","8.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-29","7.61",",,W"," 1319",",,W","0.00",",,W",,,"52",",,W","32",",,W","  300",",,W","  290",",,W","23.0",",,W","32.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-30","2.01",",,W"," 1151",",,W","0.00",",,W",,,"56",",,W","28",",,W","  110",",,W","  200",",,W","8.9",",,W","15.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-01-31","3.80",",,W"," 1105",",,W","0.00",",,W",,,"69",",,W","35",",,W","  180",",,W","  190",",,W","10.1",",,W","19.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-01","3.13",",,W"," 1139",",,W","0.01",",,W",,,"72",",,W","49",",,W","  220",",,W","  200",",,W","13.0",",,W","19.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-02","6.49",",,W"," 0956",",,W","0.00",",,W",,,"59",",,W","50",",,W","   40",",,W","   40",",,W","14.1",",,W","17.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-03","4.92",",,W"," 1241",",,W","1.10",",,W",,,"68",",,W","52",",,W","  170",",,W","  210",",,W","12.1",",,W","23.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-04","3.36",",,W"," 2352",",,W","0.01",",,W",,,"63",",,W","44",",,W","  330",",,W","   40",",,W","13.0",",,W","18.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-05","7.38",",,W"," 0924",",,W","0.02",",,W",,,"47",",,W","28",",,W","  300",",,W","  300",",,W","18.1",",,W","28.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-06","1.57",",,W"," 1131",",,W","0.00",",,W",,,"48",",,W","26",",,W","   40",",,W","  110",",,W","8.9",",,W","12.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-07","6.04",",,W"," 1533",",,W","0.00",",,W",,,"45",",,W","37",",,W","  330",",,W","  340",",,W","13.0",",,W","23.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-08","3.13",",,W"," 1727",",,W","0.01",",,W",,,"54",",,W","28",",,W","  210",",,W","  220",",,W","10.1",",,W","21.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-09","6.04",",,W"," 1940",",,W","0.00",",,W",,,"43",",,W","28",",,W","  290",",,W","  280",",,W","16.1",",,W","23.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-10","7.38",",,W"," 1606",",,W","0.00",",,W",,,"38",",,W","24",",,W","  280",",,W","  280",",,W","16.1",",,W","25.9",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-11","6.04",",,W"," 1357",",,W",,,,,"40",",,W","18",",,W","  290",",,W","  290",",,W","16.1",",,W","25.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-12","2.68",",,W"," 0826",",,W","0.00","T,,W",,,"33",",,W","25",",,W","   40",",,W","   40",",,W","10.1",",,W","13.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-13","9.62",",,W"," 0936",",,W","0.00",",,W",,,"35",",,W","20",",,W","  290",",,W","  290",",,W","21.0",",,W","31.1",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-14","4.92",",,W"," 1958",",,W","0.00","T,,W",,,"30",",,W","15",",,W","   40",",,W","   90",",,W","12.1",",,W","17.0",",,W",,,,
"USW00093785","CHAPEL HILL WILLIAMS AIRPORT, NC US","35.93333","-79.06417","156.1","2016-02-15","4.70",",,W"," 0542",",,W","0.33",",,W",,,"33",",,W","23",",,W","   50",",,W","   50",",,W","10.1",",,W","14.1",",,W",,,,
